   1     w:0.3225     p: 0.3225    loss:0.4792
   2     w:0.3562     p: 0.3038    loss:0.4782
   3     w:0.3881     p: 0.3394    loss:0.4769
   4     w:0.4716     p: 0.3197    loss:0.4742
   5     w:0.5770     p: 0.3811    loss:0.4704
   6     w:0.7966     p: 0.3724    loss:0.4631
   7     w:1.0000     p: 0.4909    loss:0.4564
   8     w:1.0000     p: 0.4909    loss:0.4564
   9     w:1.0000     p: 0.4909    loss:0.4564
  10     w:1.0000     p: 0.4909    loss:0.4564
  11     w:1.0000     p: 0.4909    loss:0.4564
  12     w:1.0000     p: 0.4909    loss:0.4564
  13     w:1.0000     p: 0.4909    loss:0.4564
  14     w:1.0000     p: 0.4909    loss:0.4564
  15     w:1.0000     p: 0.4909    loss:0.4564
  16     w:1.0000     p: 0.4909    loss:0.4564
end
