   1     w:0.3225     p: 0.3225    loss:0.5854
   2     w:0.3562     p: 0.3038    loss:0.5798
   3     w:0.3881     p: 0.3394    loss:0.5735
   4     w:0.4716     p: 0.3197    loss:0.5591
   5     w:0.5770     p: 0.3811    loss:0.5399
   6     w:0.7966     p: 0.3724    loss:0.5019
   7     w:1.0000     p: 0.4909    loss:0.4678
   8     w:1.0000     p: 0.4909    loss:0.4678
   9     w:1.0000     p: 0.4909    loss:0.4678
  10     w:1.0000     p: 0.4909    loss:0.4678
  11     w:1.0000     p: 0.4909    loss:0.4678
  12     w:1.0000     p: 0.4909    loss:0.4678
  13     w:1.0000     p: 0.4909    loss:0.4678
  14     w:1.0000     p: 0.4909    loss:0.4678
  15     w:1.0000     p: 0.4909    loss:0.4678
  16     w:1.0000     p: 0.4909    loss:0.4678
end
