actual,model,stock
124.437,122.30919213227222,35.21
124.648,122.29928160405308,37.16
124.639,122.29505269078928,36.89
124.696,122.28263617295572,36.825
124.52,122.25649715958288,36.165
124.127,122.00995200960625,36.745
124.053,122.10887641742876,36.245
124.15,122.1450761532693,36.455
124.139,122.18487002778109,35.935
124.039,122.18142823364249,36.175
124.33,122.08934461408448,36.0
124.417,122.03271160109078,35.785
124.539,121.99767183589911,35.315
124.545,122.04214357288814,34.77
124.524,122.08981565470148,33.835
124.542,122.01488675806793,34.41
124.437,122.01966002606693,33.25
124.268,121.96780773142846,33.47
124.199,121.9239738119368,33.0
124.475,121.9135608189828,33.525
124.669,121.76989315203004,33.995
125.092,121.7348898662089,34.18
125.618,121.49551814745836,36.11
126.19,121.45660051898433,37.0
126.676,121.4851293622914,37.7
126.648,121.42508283460384,37.545
127.273,121.42132296792579,37.5
127.849,121.43944550470992,37.07
127.994,121.42718943067086,37.1
128.008,121.4232920774269,39.09
127.871,121.34687950375078,39.48
127.712,121.40448118726759,38.925
127.883,121.3622030988134,37.485
127.857,121.28243125305016,38.19
127.684,121.23314839626428,38.42
127.422,121.25976152565342,39.22
127.401,121.2467200662638,39.335
126.803,121.07705446842763,39.21
126.13,121.00186315525997,39.0
126.604,120.9425482344307,39.005
126.519,121.09507149713677,38.88
126.405,121.04676454123076,40.415
126.25,121.03322163207153,40.345
125.912,120.95895728553961,40.075
125.717,120.92911995202329,41.78
125.963,120.93861839535441,41.135
126.195,120.97667299213015,40.78
126.783,120.93666621536693,40.5
126.608,120.91817799277963,41.21
126.597,120.85858384047745,41.1
126.601,120.85914986524341,41.475
126.48,120.81846528269197,41.46
126.384,120.87188363883106,41.605
126.356,120.87603323523832,41.025
126.414,120.76880279383934,41.0
126.524,120.79374330742091,41.34
126.536,120.783323686572,42.235
126.526,120.8067746109338,41.765
126.575,120.76070543130082,42.255
126.394,120.64760536618631,42.06
126.206,120.57472683223139,43.1
126.197,120.52321255800042,42.535
126.313,120.56729775814662,42.77
126.595,118.88474109169324,42.83
126.713,120.50948729298,43.35
126.9,120.54839419731053,43.415
127.068,120.5458311855663,43.255
127.12,120.5558279392389,44.39
126.982,120.49861229125906,43.75
126.859,120.46409009469835,43.83
126.913,120.54239589805934,42.81
126.987,120.50830271202771,43.46
127.074,120.53070642417552,43.755
127.003,120.45312101421973,42.045
127.044,120.43956461319529,41.615
127.094,120.45260803691662,41.975
127.084,120.43985710642492,42.635
126.995,120.43685611969754,42.89
127.048,120.32411748904332,43.575
127.039,120.35108353757258,45.105
127.077,120.30446381983678,45.455
127.09,120.29638356659618,45.435
